,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
83,84,Prairie Village,Kansas,38.9916726,-94.6335684,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
84,85,Prairie Village,Kansas,38.9916726,-94.6335684,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
85,86,Raytown,Missouri,39.0086171,-94.46356379999999,Jalapenos Mexican Restaurant,"6318 Brookside Plaza, Kansas City",4.3,39.0132528,-94.5908599
86,87,Raytown,Missouri,39.0086171,-94.46356379999999,Cacao Restaurant,"1046 W 103rd St, Kansas City",4.2,38.9425852,-94.6058609
87,88,Raytown,Missouri,39.0086171,-94.46356379999999,Salty Iguana Mexican Restaurant,"8228 Mission Rd, Prairie Village",4.0,38.97983019999999,-94.6314229
88,89,Raytown,Missouri,39.0086171,-94.46356379999999,Margarita's Martin City,"13401 Holmes Rd, Kansas City",4.1,38.8840099,-94.586062
89,90,Raytown,Missouri,39.0086171,-94.46356379999999,Manny's Mexican Restaurant,"207 Southwest Blvd, Kansas City",4.3,39.0890282,-94.58667919999999
90,91,Shawnee,Kansas,39.02284849999999,-94.7151865,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
91,92,Shawnee,Kansas,39.02284849999999,-94.7151865,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
92,93,Shawnee,Kansas,39.02284849999999,-94.7151865,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
93,94,Shawnee,Kansas,39.02284849999999,-94.7151865,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
94,95,Shawnee,Kansas,39.02284849999999,-94.7151865,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
