,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
70,71,Olathe,Kansas,38.8813958,-94.81912849999999,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
71,72,Olathe,Kansas,38.8813958,-94.81912849999999,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
72,73,Olathe,Kansas,38.8813958,-94.81912849999999,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
73,74,Olathe,Kansas,38.8813958,-94.81912849999999,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
74,75,Olathe,Kansas,38.8813958,-94.81912849999999,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
75,76,Overland Park,Kansas,38.9822282,-94.6707917,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
76,77,Overland Park,Kansas,38.9822282,-94.6707917,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
77,78,Overland Park,Kansas,38.9822282,-94.6707917,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
78,79,Overland Park,Kansas,38.9822282,-94.6707917,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
79,80,Overland Park,Kansas,38.9822282,-94.6707917,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
80,81,Prairie Village,Kansas,38.9916726,-94.6335684,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
81,82,Prairie Village,Kansas,38.9916726,-94.6335684,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
82,83,Prairie Village,Kansas,38.9916726,-94.6335684,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
83,84,Prairie Village,Kansas,38.9916726,-94.6335684,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
84,85,Prairie Village,Kansas,38.9916726,-94.6335684,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
85,86,Raytown,Missouri,39.0086171,-94.46356379999999,China King,"3634 W 135th St, Overland Park",4.5,38.884138,-94.626852
86,87,Raytown,Missouri,39.0086171,-94.46356379999999,Blue Koi Noodles & Dumplings,"1803 W 39th St, Kansas City",4.6,39.057174,-94.606402
87,88,Raytown,Missouri,39.0086171,-94.46356379999999,Red Snapper,"8430 Ward Pkwy, Kansas City",4.4,38.975471,-94.60744199999999
88,89,Raytown,Missouri,39.0086171,-94.46356379999999,Princess Garden,"8906 Wornall Rd, Kansas City",4.4,38.9662812,-94.5959886
89,90,Raytown,Missouri,39.0086171,-94.46356379999999,KIN LIN,"314 E 51st St, Kansas City",3.9,39.0349456,-94.58347429999999
90,91,Shawnee,Kansas,39.02284849999999,-94.7151865,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
91,92,Shawnee,Kansas,39.02284849999999,-94.7151865,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
92,93,Shawnee,Kansas,39.02284849999999,-94.7151865,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
93,94,Shawnee,Kansas,39.02284849999999,-94.7151865,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
94,95,Shawnee,Kansas,39.02284849999999,-94.7151865,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
