,ID,City,State,Latitude,Longitude,Place Name,Place Address,Place Rating,Place Latitude,Place Longitude
59,60,Merriam,Kansas,39.0236165,-94.6935701,Saint Thomas Aquinas High School,"11411 Pflumm Road, Overland Park",3.8,38.92216369999999,-94.740104
60,61,Mission,Kansas,39.0277832,-94.6557914,Shawnee Mission South High School,"5800 West 107th Street, Overland Park",3.8,38.9373596,-94.6535918
61,62,Mission,Kansas,39.0277832,-94.6557914,Johnson County Community College,"12345 College Boulevard, Overland Park",4.2,38.9237863,-94.73062379999999
62,63,Mission,Kansas,39.0277832,-94.6557914,Shawnee Mission North High School,"7401 Johnson Drive, Overland Park",3.7,39.0208512,-94.6720849
63,64,Mission,Kansas,39.0277832,-94.6557914,Shawnee Mission Northwest High School,"12701 West 67th Street, Shawnee",3.4,39.00629670000001,-94.7325407
64,65,Mission,Kansas,39.0277832,-94.6557914,Avila University,"11901 Wornall Road, Kansas City",4.1,38.91236430000001,-94.59146989999999
65,66,North Kansas City,Missouri,39.14290810000001,-94.5729781,Park Hill South High School,"4500 River Park Drive, Riverside",4.4,39.175437,-94.62601699999999
66,67,North Kansas City,Missouri,39.14290810000001,-94.5729781,North Kansas City High School,"620 East 23rd Avenue, North Kansas City",3.9,39.14611379999999,-94.57340470000001
67,68,North Kansas City,Missouri,39.14290810000001,-94.5729781,Concorde Career College - Kansas City,"3239 Broadway Boulevard, Kansas City",3.1,39.06803,-94.58972
68,69,North Kansas City,Missouri,39.14290810000001,-94.5729781,Winnetonka High School,"5815 Northeast 48th Street, Kansas City",3.8,39.17943,-94.50950399999999
69,70,North Kansas City,Missouri,39.14290810000001,-94.5729781,St Pius X High School,"1500 Northeast 42nd Terrace, Kansas City",3.4,39.1727707,-94.56171719999999
70,71,Olathe,Kansas,38.8813958,-94.81912849999999,Johnson County Community College,"12345 College Boulevard, Overland Park",4.2,38.9237863,-94.73062379999999
71,72,Olathe,Kansas,38.8813958,-94.81912849999999,Olathe North High School,"600 East Prairie Street, Olathe",3.6,38.8875164,-94.8082785
