,ID,City,State,Latitude,Longitude,Place Name,Place Address,Place Rating,Place Latitude,Place Longitude
66,67,North Kansas City,Missouri,39.14290810000001,-94.5729781,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
67,68,North Kansas City,Missouri,39.14290810000001,-94.5729781,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
68,69,North Kansas City,Missouri,39.14290810000001,-94.5729781,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
69,70,North Kansas City,Missouri,39.14290810000001,-94.5729781,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
70,71,Olathe,Kansas,38.8813958,-94.81912849999999,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
71,72,Olathe,Kansas,38.8813958,-94.81912849999999,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
72,73,Olathe,Kansas,38.8813958,-94.81912849999999,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
73,74,Olathe,Kansas,38.8813958,-94.81912849999999,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
74,75,Olathe,Kansas,38.8813958,-94.81912849999999,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
75,76,Overland Park,Kansas,38.9822282,-94.6707917,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
76,77,Overland Park,Kansas,38.9822282,-94.6707917,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
77,78,Overland Park,Kansas,38.9822282,-94.6707917,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
78,79,Overland Park,Kansas,38.9822282,-94.6707917,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
79,80,Overland Park,Kansas,38.9822282,-94.6707917,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
80,81,Prairie Village,Kansas,38.9916726,-94.6335684,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
81,82,Prairie Village,Kansas,38.9916726,-94.6335684,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
82,83,Prairie Village,Kansas,38.9916726,-94.6335684,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
83,84,Prairie Village,Kansas,38.9916726,-94.6335684,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
84,85,Prairie Village,Kansas,38.9916726,-94.6335684,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
85,86,Raytown,Missouri,39.0086171,-94.46356379999999,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
86,87,Raytown,Missouri,39.0086171,-94.46356379999999,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
87,88,Raytown,Missouri,39.0086171,-94.46356379999999,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
88,89,Raytown,Missouri,39.0086171,-94.46356379999999,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
89,90,Raytown,Missouri,39.0086171,-94.46356379999999,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
90,91,Shawnee,Kansas,39.02284849999999,-94.7151865,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
91,92,Shawnee,Kansas,39.02284849999999,-94.7151865,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
92,93,Shawnee,Kansas,39.02284849999999,-94.7151865,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
93,94,Shawnee,Kansas,39.02284849999999,-94.7151865,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
94,95,Shawnee,Kansas,39.02284849999999,-94.7151865,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
